"field","term","estimate","conf.low","conf.high","p.value","outcome"
"Arts & Humanities","unemp_lag",0.00342862598246844,-0.00576622178478046,0.0126286443155628,0.474946831830158,"prop_wom (logit, counts)"
"Arts & Humanities","gdpg_lag",0.0010372450921679,-0.00671302513076356,0.00877922981603294,0.796126987593405,"prop_wom (logit, counts)"
"Business & Management","unemp_lag",0.000547207327728908,-0.00291125196146282,0.00400553177440745,0.760241043471308,"prop_wom (logit, counts)"
"Business & Management","gdpg_lag",0.000639706276120132,-0.00236325388441384,0.0036429627817456,0.681536688778937,"prop_wom (logit, counts)"
"Education","unemp_lag",-0.00162686861831389,-0.0130893810031212,0.00985165870026147,0.784375182343359,"prop_wom (logit, counts)"
"Education","gdpg_lag",0.00371908505411616,-0.0060929788721822,0.0135059024752577,0.467118299904299,"prop_wom (logit, counts)"
"Engineering","unemp_lag",-0.000160154900070551,-0.0294346690390896,0.0289845041190733,0.991549985334454,"prop_wom (logit, counts)"
"Engineering","gdpg_lag",0.00623290599405045,-0.0215156109145161,0.0343172300299903,0.667113244570667,"prop_wom (logit, counts)"
"Health & Medical","unemp_lag",-0.00816134255226342,-0.0196761526606742,0.00337536249416389,0.183100833756396,"prop_wom (logit, counts)"
"Health & Medical","gdpg_lag",0.00331663095512322,-0.00710977085953273,0.0136938038311164,0.540296527239414,"prop_wom (logit, counts)"
"Natural Sciences","unemp_lag",-0.0046904381939775,-0.0281776547396683,0.0188107729504566,0.700423917713243,"prop_wom (logit, counts)"
"Natural Sciences","gdpg_lag",0.00476732971509426,-0.0162326391314535,0.0257384190968249,0.661727485680684,"prop_wom (logit, counts)"
"Other/Unknown","unemp_lag",0.00196814603396816,-0.00597722292587724,0.00991617537261974,0.633571954006669,"prop_wom (logit, counts)"
"Other/Unknown","gdpg_lag",0.00120434085170901,-0.00569077869947552,0.00809466331263087,0.736201754643375,"prop_wom (logit, counts)"
"Social & Behavioral Sciences","unemp_lag",-0.00956267545742694,-0.0253129363235023,0.00620339345703718,0.250623191843127,"prop_wom (logit, counts)"
"Social & Behavioral Sciences","gdpg_lag",0.000341751207461031,-0.013302778973917,0.0139559468520218,0.961374763892338,"prop_wom (logit, counts)"
